Sport Code,Gender,PracticeM,PracticeT,Off Season,On Season,Early Release,Season,PhyEd 110,PhyEd 111,PhyEd 222,PhyEd 215,PhyEd 315,FY Class,FY Go,Basic Swim
BA,M,PM,PM,Fall,Spring,Y,Feb-May,B,A,B,A,B,PhyEd 340,A,A
BB,M,PM,PM,Spring,Fall,Y,Nov-Mar,F,E,F,E,F,PhyEd 342,F,D
BB,F,PM,PM,Spring,Winter,Y,Nov-Mar,F,E,F,E,F,PhyEd 342,F,D
BX,M,PM,PM,Spring,Winter,N,Sep-Apr,A,A,B,A,B,PhyEd 488,A,A
CC,M,PM,PM,Winter,Fall,N,Sep-Nov,W,A,B,A,B,PhyEd 484,A,A
CC,F,PM,PM,Winter,Fall,N,Sep-Nov,W,A,B,A,B,PhyEd 484,A,A
CL,M,PM,PM,Winter,Fall,N,Sep-Dec,F,E,F,E,F,PhyEd 342,F,D
CL,F,PM,PM,Winter,Fall,N,Sep-Dec,F,E,F,E,F,PhyEd 344,F,D
DV,M,PM,PM,Spring,Winter,N,Sep-Mar,F,E,F,E,F,PhyEd 343,F,D
DV,F,PM,PM,Spring,Winter,N,Sep-Mar,F,E,F,E,F,PhyEd 344,F,D
FB,M,PM,PM,Spring,Fall,Y,Sep-Dec,C,E,F,E,F,PhyEd 342,F,D
FN,M,PM,PM,Spring,Winter,N,Sep-Mar,A,A,B,A,B,PhyEd 342,A,A
FN,F,PM,PM,Spring,Winter,N,Sep-Mar,A,A,B,A,B,PhyEd 342,A,A
GO,M,PM,PM,Winter,Fall,Y,Sep-Oct-Feb-May,W,B,C,B,C,PhyEd 486,B,B
GY,M,PM,PM,Fall,Winter,N,Jan-Apr,A,A,B,A,B,PhyEd 343,A,A
GY,F,PM,PM,Fall,Winter,Y,Jan-Apr,A,A,B,A,B,PhyEd 344,A,A
IH,M,PM,PM,Spring,Winter,Y,Oct-Mar,F,E,F,E,F,PhyEd 342,E,D
LX,M,PM,PM,Fall,Winter,N,Feb-May,A,B,C,B,C,PhyEd 432,A,A
RI,M,PM,PM,Spring,Winter,N,Oct-Mar,F,E,F,E,F,PhyEd 343,F,D
RI,F,PM,PM,Spring,Winter,N,Oct-Mar,F,E,F,E,F,PhyEd 343,F,D
SO,M,PM,PM,Winter,Fall,Y,Aug-Nov,W,C,D,C,D,PhyEd 342,F,C
SO,F,PM,PM,Winter,Fall,Y,Aug-Nov,W,C,D,C,D,PhyEd 342,F,C
SW,M,AM,PM,Spring,Winter,N,Sep-Mar,A,E,F,E,F,PhyEd 343,F,D
SW,F,PM,AM,Spring,Winter,N,Sep-Mar,A,E,F,E,F,PhyEd 344,F,D
TN,M,PM,PM,Spring,Winter,Y,Sep-Apr,B,A,B,A,B,PhyEd 342,A,A
TN,F,PM,PM,Spring,Winter,N,Sep-Apr,A,A,B,A,B,PhyEd 342,A,A
TR,M,PM,PM,Fall,Winter,N,Jan-May,A,A,B,A,B,PhyEd 484,A,A
TR,F,PM,PM,Fall,Winter,N,Jan-May,A,A,B,A,B,PhyEd 484,A,A
VB,F,PM,PM,Winter,Fall,Y,Sep-Nov,W,C,D,C,D,PhyEd 342,F,C
WP,M,PM,AM,Winter,Fall,N,Sep-Nov,W,C,D,C,D,PhyEd 343,C,C
WR,M,PM,AM,Spring,Winter,N,Nov-Mar,A,A,B,A,B,PhyEd 488,A,A
